-174.63333334	-0.00046854
-174.60000000	-0.00042967
-174.56666667	-0.00039407
-174.53333334	-0.00046192
-174.50000000	-0.00038824
-174.46666667	-0.00036211
-174.43333333	-0.00034852
-174.40000000	-0.00034339
-174.36666667	-0.00034501
-174.33333333	-0.00030210
-174.30000000	-0.00022959
-174.26666667	-0.00017699
-174.23333333	-0.00013044
-174.20000000	-0.00006256
-174.16666667	0.00003643
-174.13333333	0.00013205
-174.10000000	0.00017704
-174.06666667	0.00025756
-174.03333333	0.00035016
-174.00000000	0.00036041
-173.96666667	0.00040023
-173.93333333	0.00037414
-173.90000000	0.00039798
-173.86666667	0.00036450
-173.83333333	0.00035821
-173.80000000	0.00032638
-173.76666667	0.00031483
-173.73333333	0.00034107
-173.70000000	0.00025214
-173.66666666	0.00029288
-173.63333333	0.00029725
-173.60000000	0.00037537
-173.56666666	0.00034964
-173.53333333	0.00039007
-173.50000000	0.00040482
-173.46666666	0.00043617
-173.43333333	0.00052339
-173.40000000	0.00042661
-173.36666666	0.00053949
-173.33333333	0.00049089
-173.30000000	0.00044907
-173.26666666	0.00040659
-173.23333333	0.00041900
-173.20000000	0.00034314
-173.16666666	0.00025774
-173.13333333	0.00025010
-173.10000000	0.00019640
-173.06666666	0.00011455
-173.03333333	0.00004612
-173.00000000	0.00004071
-172.96666666	-0.00007377
-172.93333333	-0.00005655
-172.89999999	-0.00007955
-172.86666666	-0.00009283
-172.83333333	-0.00010882
-172.79999999	-0.00006809
-172.76666666	0.00002857
-172.73333333	-0.00001241
-172.69999999	0.00001903
-172.66666666	0.00002112
-172.63333333	-0.00000943
-172.59999999	-0.00004294
-172.56666666	-0.00007632
-172.53333333	-0.00005642
-172.49999999	-0.00006459
-172.46666666	-0.00018816
-172.43333333	-0.00013919
-172.39999999	-0.00012213
-172.36666666	-0.00025620
-172.33333333	-0.00020262
-172.29999999	-0.00016712
-172.26666666	-0.00016799
-172.23333333	-0.00008994
-172.19999999	-0.00011638
-172.16666666	-0.00004531
-172.13333333	-0.00011627
-172.09999999	-0.00008194
-172.06666666	-0.00010569
-172.03333332	-0.00011872
-171.99999999	-0.00021752
-171.96666666	-0.00018242
-171.93333332	-0.00022503
-171.89999999	-0.00034228
-171.86666666	-0.00037910
-171.83333332	-0.00037755
-171.79999999	-0.00048376
-171.76666666	-0.00052109
-171.73333332	-0.00052312
-171.69999999	-0.00056979
-171.66666666	-0.00058918
-171.63333332	-0.00054629
-171.59999999	-0.00057203
-171.56666666	-0.00050068
-171.53333332	-0.00048915
-171.49999999	-0.00035331
-171.46666666	-0.00041176
-171.43333332	-0.00041610
-171.39999999	-0.00046005
-171.36666666	-0.00046665
-171.33333332	-0.00052007
-171.29999999	-0.00061008
-171.26666665	-0.00073888
-171.23333332	-0.00073349
-171.19999999	-0.00090136
-171.16666665	-0.00103112
-171.13333332	-0.00109866
-171.09999999	-0.00118412
-171.06666665	-0.00128628
-171.03333332	-0.00138532
-170.99999999	-0.00142556
-170.96666665	-0.00145492
-170.93333332	-0.00149834
-170.89999999	-0.00150367
-170.86666665	-0.00150187
-170.83333332	-0.00142660
-170.79999999	-0.00151223
-170.76666665	-0.00147381
-170.73333332	-0.00142784
-170.69999999	-0.00143062
-170.66666665	-0.00146011
-170.63333332	-0.00148920
-170.59999999	-0.00152655
-170.56666665	-0.00152338
-170.53333332	-0.00162292
-170.49999998	-0.00164169
-170.46666665	-0.00169171
-170.43333332	-0.00174954
-170.39999998	-0.00185668
-170.36666665	-0.00194296
-170.33333332	-0.00197338
-170.29999998	-0.00211692
-170.26666665	-0.00216247
-170.23333332	-0.00215688
-170.19999998	-0.00215433
-170.16666665	-0.00212110
-170.13333332	-0.00210538
-170.09999998	-0.00204026
-170.06666665	-0.00197805
-170.03333332	-0.00189361
-169.99999998	-0.00185662
-169.96666665	-0.00179377
-169.93333332	-0.00170514
-169.89999998	-0.00172132
-169.86666665	-0.00171949
-169.83333332	-0.00172660
-169.79999998	-0.00174458
-169.76666665	-0.00172413
-169.73333332	-0.00172739
-169.69999998	-0.00177060
-169.66666665	-0.00179148
-169.63333331	-0.00191405
-169.59999998	-0.00191413
-169.56666665	-0.00203337
-169.53333331	-0.00202811
-169.49999998	-0.00203708
-169.46666665	-0.00215171
-169.43333331	-0.00211568
-169.39999998	-0.00213461
-169.36666665	-0.00207876
-169.33333331	-0.00212932
-169.29999998	-0.00206764
-169.26666665	-0.00207009
-169.23333331	-0.00199402
-169.19999998	-0.00195359
-169.16666665	-0.00195742
-169.13333331	-0.00199961
-169.09999998	-0.00205244
-169.06666665	-0.00195740
-169.03333331	-0.00199710
-168.99999998	-0.00199551
-168.96666665	-0.00207994
-168.93333331	-0.00213129
-168.89999998	-0.00217154
-168.86666664	-0.00224050
-168.83333331	-0.00225630
-168.79999998	-0.00229860
-168.76666664	-0.00228330
-168.73333331	-0.00226223
-168.69999998	-0.00223728
-168.66666664	-0.00223857
-168.63333331	-0.00214685
-168.59999998	-0.00203483
-168.56666664	-0.00198291
-168.53333331	-0.00184041
-168.49999998	-0.00176451
-168.46666664	-0.00169741
-168.43333331	-0.00164167
-168.39999998	-0.00162791
-168.36666664	-0.00152002
-168.33333331	-0.00149519
-168.29999998	-0.00144748
-168.26666664	-0.00145159
-168.23333331	-0.00146373
-168.19999998	-0.00136858
-168.16666664	-0.00143108
-168.13333331	-0.00143997
-168.09999997	-0.00141253
-168.06666664	-0.00139882
-168.03333331	-0.00138255
-167.99999997	-0.00143815
-167.96666664	-0.00139820
-167.93333331	-0.00136816
